"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","Mandatory Quarantine","Non-Essential Business Closures","Large Gatherings Ban","State-Mandated School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (14); Affected Counties (2); High-risk Groups (7); No Action (28)","All Non-Essential Businesses (21); All Non-Essential Retail Businesses (3); Other (2); No Action (25)","All Gatherings Prohibited (12); >10 Prohibited (24); 25+ Prohibited (1); 50+ Prohibited (4); Other (2); No action (8)","Yes (46); Effectively Closed (1); Other (1); No (3)","Closed except for takeout/delivery (43); Limited on-site service (4); Other (1); No action (5)","Yes (11); No (40)","Yes (51); No (0)"
"Alabama","-","-","25+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Alaska","High-risk Groups","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1"
"Arizona","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"California","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","2"
"Colorado","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","3"
"Connecticut","-","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Delaware","Statewide","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","High-risk Groups","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Georgia","High-risk Groups","-","-","Yes","Limited On-site Service","Yes","Yes"
"Hawaii","Statewide","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","Affected Counties","-","-","-","-","-","Yes"
"Illinois","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes"
