"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","Stay At Home Order","Non-Essential Business Closures","Large Gatherings Ban","State-Mandated School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (16); Affected Counties (1); High-risk Groups (4); Other (4); No Action (26)","All Non-Essential Businesses (21); All Non-Essential Retail Businesses (3); Other (3); No Action (24)","All Gatherings Prohibited (13); >10 Prohibited (23); 25+ Prohibited (1); 50+ Prohibited (4); Other (2); No action (8)","Yes (46); Effectively Closed (1); Other (1); No (3)","Closed except for takeout/delivery (44); Limited on-site service (4); Other (2); No action (1)","Yes (11); No (40)","Yes (51); No (0)"
"Alabama","-","-","25+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Alaska","High-risk Groups","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1, 2"
"Arizona","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"California","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","3"
"Colorado","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","4"
"Connecticut","-","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Delaware","Statewide","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","Other","-","-","Yes","Closed except for takeout/delivery","-","Yes","1"
"Georgia","High-risk Groups","-","-","Yes","Limited On-site Service","Yes","Yes"
"Hawaii","Statewide","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","-","Closed except for takeout/delivery","-","Yes"
"Illinois","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes"
"Kansas","Other","-",">10 People Prohibited","Yes","Limited On-site Service","-","Yes","1"
"Kentucky","-","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","5"
"Louisiana","Statewide","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maine","-","All Non-Essential Businesses",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes"
"Maryland","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Massachusetts","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Michigan","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Minnesota","Statewide","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Mississippi","-","-",">10 People Prohibited","Yes","Limited On-site Service","Yes","Yes"
"Missouri","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Montana","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Nebraska","-","-","Other","Other","Other","-","Yes","6"
"Nevada","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","5"
"New Hampshire","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
