"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","Stay At Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","State-Mandated School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (25); Affected Counties (1); High-risk Groups (4); No Action (21)","All Travelers (8); All Air Travelers (1); From Certain States (3); No Action (39)","All Non-Essential Businesses (27); All Non-Essential Retail Businesses (4); Other (4); No Action (16)","All Gatherings Prohibited (16); >10 Prohibited (22); 50+ Prohibited (2); Other (5); No action (6)","Yes (46); Effectively Closed (2); Other (1); No (2)","Closed except for takeout/delivery (44); Limited on-site service (4); Other (2); No action (1)","Yes (12); No (39)","Yes (51); No (0)"
"Alabama","-","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","1"
"Alaska","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Arizona","-","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Arkansas","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"California","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes","2"
"Colorado","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Connecticut","-","-","All Non-Essential Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","3"
"Delaware","Statewide","All Travelers","All Non-Essential Businesses","50+ People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"District of Columbia","-","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Florida","-","From Certain States","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Georgia","High-risk Groups","-","-","Other","Yes","Limited On-site Service","Yes","Yes","4"
"Hawaii","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Idaho","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Effectively Closed","Closed except for takeout/delivery","-","Yes"
"Illinois","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Indiana","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Iowa","-","-","Other",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes","1"
"Kansas","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Yes","Limited On-site Service","-","Yes"
"Kentucky","-","-","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","4"
"Louisiana","Statewide","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maine","-","-","All Non-Essential Businesses",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes"
"Maryland","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Massachusetts","-","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Michigan","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Minnesota","Statewide","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Mississippi","-","-","-",">10 People Prohibited","Yes","Limited On-site Service","Yes","Yes"
"Missouri","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Montana","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Nebraska","-","-","-","Other","Other","Other","-","Yes","5"
"Nevada","-","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","4"
"New Hampshire","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Jersey","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Mexico","-","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Limited On-site Service","-","Yes","4"
"New York","High-risk Groups","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"North Carolina","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","4"
"North Dakota","-","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Ohio","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Oklahoma","High-risk Groups","-","Other",">10 People Prohibited","Yes","Other","-","Yes","6"
"Oregon","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Pennsylvania","Affected Counties","-","All Non-Essential Businesses","-","Yes","Closed except for takeout/delivery","-","Yes"
"Rhode Island","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","3"
"South Carolina","-","-","-","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"South Dakota","-","-","-",">10 People Prohibited","Yes","-","-","Yes"
"Tennessee","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Texas","-","From Certain States","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Utah","High-risk Groups","All Travelers","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Vermont","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","7"
"Virginia","Statewide","-","Other",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1"
"Washington","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"West Virginia","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wisconsin","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wyoming","-","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Notes"
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included."


Footnotes
"1. Governors in AL, IA, and VA have closed many, but not all, non-essential businesses."
"2. While the CA governor has not officially mandated the statewide closure of schools, the state's mandatory quarantine order effectively closes all schools."
"3. CT and RI have prohibited gatherings larger than five people, with limited exceptions."
"4. Please see links in Sources tab for more details."
"5. NE has enacted a large gatherings ban, school closures, and bar/restaurant limits in counties where community spread has been confirmed."
"6. OK has mandated closure of all non-essential businesses and limited bar/restaurants to carry-out and delivery only in affected counties."
"7. Gatherings also limited to 50% of venue capacity if such limitation would be under 50 people."

