"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","State Is Easing Social Distancing Measures","Stay at Home Order","Mandatory Quarantine for Travelers","Non-Essential Business Closures","Large Gatherings Ban","School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Yes (13); No (38)","Statewide (37); High-Risk Groups (3); Other (1); Expired (4); No Action (6)","All Travelers (14); All Air Travelers (1); From Certain States (6); Other (1); No Action (29)","All Non-Essential Businesses (25); All Non-Essential Retail Businesses (4); Certain Non-Essential Businesses (14); Open with Reduced Capacity (2); No Action (6)","All Gatherings Prohibited (15); >10 Prohibited (25); 20+ Prohibited (1); Other (4); Expired (3); No Action (3)","Closed (12); Closed for School Year (32); Recommended Closure (1); Recommended Closure for School Year (6)","Closed Except for Takeout/Delivery (44); Limited On-Site Service (5); Other (1); No Action (1)","Postponed (14); Canceled (1); No (36)","Yes (51); No (0)"
"Alabama","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"Alaska","Changes to Stay at Home Order; Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services; Eases Large Gatherings Ban","Expired*","All Travelers","Certain Non-Essential Businesses*","20+ People Prohibited*","Closed for School Year","Limited On-Site Service*","-","Yes"
"Arizona","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Arkansas","-","-","-","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"California","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Colorado","Changes to Stay at Home Order; Reopens Certain Businesses; Eases Large Gatherings Ban","High-Risk Groups*","-","Open with Reduced Capacity*",">10 People Prohibited*","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Connecticut","-","Statewide","-","All Non-Essential Businesses","Other","Closed","Closed Except for Takeout/Delivery","Postponed","Yes","1"
"Delaware","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"District of Columbia","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Florida","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Recommended Closure for School Year","Closed Except for Takeout/Delivery","-","Yes","2"
"Georgia","Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Statewide","-","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Limited On-Site Service*","Postponed","Yes"
"Hawaii","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Idaho","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Recommended Closure","Closed Except for Takeout/Delivery","-","Yes"
"Illinois","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Indiana","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Postponed","Yes"
"Iowa","-","-","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","3"
"Kansas","-","Statewide","From Certain States","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Limited On-Site Service","-","Yes"
"Kentucky","-","Statewide","Other","All Non-Essential Retail Businesses","All Gatherings Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Postponed","Yes","4"
"Louisiana","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"Maine","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Recommended Closure for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"Maryland","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","Postponed","Yes"
"Massachusetts","-","Statewide","All Travelers","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Michigan","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Minnesota","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","-","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Mississippi","Changes to Stay at Home Order; Reopens Certain Businesses","Expired*","-","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"Missouri","Eases Large Gatherings Ban","Statewide","-","All Non-Essential Businesses","Expired*","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Montana","Changes to Stay at Home Order; Reopens Certain Businesses; Eases Large Gatherings Ban","Expired*","All Travelers","Open with Reduced Capacity*","Expired*","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Nebraska","-","-","-","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","5"
"Nevada","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","4"
"New Hampshire","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"New Jersey","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Postponed","Yes"
"New Mexico","-","Statewide","All Air Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Limited On-Site Service","-","Yes","4"
"New York","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed","Closed Except for Takeout/Delivery","Canceled","Yes"
"North Carolina","-","Statewide","-","All Non-Essential Businesses",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes","4"
"North Dakota","-","-","All Travelers","Certain Non-Essential Businesses","-","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Ohio","-","Statewide","All Travelers","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes"
"Oklahoma","Reopens Certain Businesses","High-Risk Groups","From Certain States","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Other","-","Yes","6"
"Oregon","-","Statewide","-","All Non-Essential Retail Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Pennsylvania","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Rhode Island","-","Statewide","All Travelers","All Non-Essential Retail Businesses","Other","Closed","Closed Except for Takeout/Delivery","Postponed","Yes","1"
"South Carolina","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"South Dakota","-","-","-","-","Expired*","Recommended Closure for School Year","-","-","Yes"
"Tennessee","Changes to Stay at Home Order; Reopens Certain Businesses; Allows Limited Restaurant Dine-in Services","Expired*","-","Certain Non-Essential Businesses*",">10 People Prohibited","Recommended Closure for School Year","Limited On-Site Service*","-","Yes"
"Texas","-","Other","From Certain States","-",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Utah","-","High-Risk Groups","All Travelers","-","-","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Vermont","Reopens Certain Businesses","Statewide","All Travelers","Certain Non-Essential Businesses*",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes","7"
"Virginia","-","Statewide","-","Certain Non-Essential Businesses",">10 People Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Washington","-","Statewide","-","All Non-Essential Businesses","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"West Virginia","-","Statewide","From Certain States","All Non-Essential Businesses","Other","Closed for School Year","Closed Except for Takeout/Delivery","Postponed","Yes","1"
"Wisconsin","Reopens Certain Businesses","Statewide","-","Certain Non-Essential Businesses*","All Gatherings Prohibited","Closed for School Year","Closed Except for Takeout/Delivery","-","Yes"
"Wyoming","-","-","All Travelers","-",">10 People Prohibited","Closed","Closed Except for Takeout/Delivery","-","Yes"
"Notes"
"* Reflects an easing of more restrictive social distancing measures."
""
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included."


Footnotes
"1. CT, RI, and WV have prohibited gatherings larger than five people, with limited exceptions."
"2. The FL governor has prohibited gatherings of more than 10 people in public spaces, but limits on private gatherings have fallen short of a mandate."
"3. Iowa bans all gatherings in 14 hard-hit counties in the northeastern part of the state, and bans gatherings of more than 10 people in the rest of the state"
"4. Please see links in Sources tab for more details."
"5. NE has enacted a large gatherings ban and bar/restaurant limits in counties where community spread has been confirmed."
"6. OK has mandated closure of all non-essential businesses and limited bar/restaurants to carry-out and delivery only in affected counties."
"7. Gatherings also limited to 50% of venue capacity if such limitation would be under 50 people."

