Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
Alabama,2020-03-25,NA,NA,-,25,Yes,NA,No Indoor,Closed,NA
Alaska,2020-03-25,NA,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Arizona,2020-03-25,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Arkansas,2020-03-25,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
California,2020-03-25,NA,NA,All Non-Essential Businesses Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Colorado,2020-03-25,NA,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Connecticut,2020-03-25,NA,NA,All Non-Essential Businesses Closed,50,Yes,NA,No Indoor,Closed,NA
Delaware,2020-03-25,NA,NA,All Non-Essential Businesses Closed,50,Yes,NA,No Indoor,Closed,NA
District of Columbia,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,Closed,NA
Florida,2020-03-25,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Georgia,2020-03-25,NA,NA,-,-,Yes,NA,Limited Indoor,Closed,NA
Hawaii,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,Closed,NA
Idaho,2020-03-25,NA,NA,-,-,Yes,NA,-,NA,NA
Illinois,2020-03-25,NA,NA,All Non-Essential Businesses Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Indiana,2020-03-25,NA,NA,All Non-Essential Businesses Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Iowa,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,NA,NA
Kansas,2020-03-25,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Kentucky,2020-03-25,NA,NA,All Non-Essential Retail Businesses Closed,Other,Yes,NA,No Indoor,Closed,NA
Louisiana,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Maine,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,NA,NA
Maryland,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,Closed,NA
Massachusetts,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,Closed,NA
Michigan,2020-03-25,NA,NA,All Non-Essential Businesses Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Minnesota,2020-03-25,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Mississippi,2020-03-25,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Missouri,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Montana,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Nebraska,2020-03-25,NA,NA,-,Other,Yes,NA,NA,-,NA
Nevada,2020-03-25,NA,NA,All Non-Essential Businesses Closed,10,Yes,NA,No Indoor,Closed,NA
New Hampshire,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
New Jersey,2020-03-25,NA,NA,All Non-Essential Retail Businesses Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
