date,state,population,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Mask_Requirement,Statewide Face Mask Requirement,Restaurants,School_Closed
2020-03-25,AL,4921532,NA,NA,0,5,1,NA,NA,NA,3,2
2020-03-25,AK,731158,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,AZ,7421401,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-25,AR,3030522,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-25,CA,39368078,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,CO,5807719,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,CT,3557006,NA,NA,5,6,1,NA,NA,NA,3,2
2020-03-25,DE,986809,NA,NA,5,6,1,NA,NA,NA,3,2
2020-03-25,DC,712816,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,FL,21733312,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-25,GA,10710017,NA,NA,0,0,1,NA,NA,NA,2,2
2020-03-25,HI,1407006,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,ID,1826913,NA,NA,0,0,1,NA,NA,NA,0,NA
2020-03-25,IL,12587530,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,IN,6754953,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,IA,3163561,NA,NA,0,3,1,NA,NA,NA,3,NA
2020-03-25,KS,2913805,NA,NA,0,3,1,NA,NA,NA,2,2
2020-03-25,KY,4477251,NA,NA,4,0,1,NA,NA,NA,3,2
2020-03-25,LA,4645318,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,ME,1350141,NA,NA,5,3,1,NA,NA,NA,3,NA
2020-03-25,MD,6055802,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,MA,6893574,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,MI,9966555,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,MN,5657342,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-25,MS,2966786,NA,NA,0,3,1,NA,NA,NA,2,2
2020-03-25,MO,6151548,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,MT,1080577,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,NE,1937552,NA,NA,0,0,1,NA,NA,NA,NA,0
2020-03-25,NV,3138259,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,NH,1366275,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,NJ,8882371,NA,NA,4,7,1,NA,NA,NA,3,2
2020-03-25,NM,2106319,NA,NA,5,7,1,NA,NA,NA,2,2
2020-03-25,NY,19336776,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,NC,10600823,NA,NA,0,6,1,NA,NA,NA,3,2
2020-03-25,ND,765309,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-25,OH,11693217,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,OK,3980783,NA,NA,5,3,1,NA,NA,NA,0,2
2020-03-25,OR,4241507,NA,NA,4,7,1,NA,NA,NA,3,2
2020-03-25,PA,12783254,NA,NA,5,0,1,NA,NA,NA,3,2
2020-03-25,RI,1057125,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,SC,5218040,NA,NA,0,6,1,NA,NA,NA,3,2
2020-03-25,SD,892717,NA,NA,0,3,1,NA,NA,NA,0,2
2020-03-25,TN,6886834,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,TX,29360759,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,UT,3249879,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,VT,623347,NA,NA,5,3,1,NA,NA,NA,3,2
2020-03-25,VA,8590563,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-25,WA,7693612,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,WV,1784787,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,WI,5832655,NA,NA,5,7,1,NA,NA,NA,3,2
2020-03-25,WY,582328,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,AL,4921532,0,NA,0,5,1,NA,NA,NA,3,2
2020-03-26,AK,731158,2,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,AZ,7421401,0,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,AR,3030522,0,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,CA,39368078,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,CO,5807719,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,CT,3557006,0,NA,5,6,1,NA,NA,NA,3,2
2020-03-26,DE,986809,3,NA,5,6,1,NA,NA,NA,3,2
2020-03-26,DC,712816,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,FL,21733312,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,GA,10710017,2,NA,0,0,1,NA,NA,NA,2,2
2020-03-26,HI,1407006,3,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,ID,1826913,3,NA,5,7,1,NA,NA,NA,3,NA
2020-03-26,IL,12587530,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,IN,6754953,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,IA,3163561,0,NA,0,3,1,NA,NA,NA,3,NA
2020-03-26,KS,2913805,NA,NA,0,3,1,NA,NA,NA,2,2
2020-03-26,KY,4477251,0,NA,4,0,1,NA,NA,NA,3,2
2020-03-26,LA,4645318,3,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,ME,1350141,0,NA,5,3,1,NA,NA,NA,3,NA
2020-03-26,MD,6055802,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,MA,6893574,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,MI,9966555,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,MN,5657342,3,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,MS,2966786,0,NA,0,3,1,NA,NA,NA,2,2
2020-03-26,MO,6151548,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,MT,1080577,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,NE,1937552,0,NA,0,0,1,NA,NA,NA,NA,0
2020-03-26,NV,3138259,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,NH,1366275,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,NJ,8882371,3,NA,4,7,1,NA,NA,NA,3,2
2020-03-26,NM,2106319,0,NA,5,7,1,NA,NA,NA,2,2
2020-03-26,NY,19336776,2,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,NC,10600823,0,NA,0,6,1,NA,NA,NA,3,2
2020-03-26,ND,765309,0,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,OH,11693217,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,OK,3980783,2,NA,0,3,1,NA,NA,NA,NA,2
2020-03-26,OR,4241507,3,NA,4,7,1,NA,NA,NA,3,2
2020-03-26,PA,12783254,NA,NA,5,0,1,NA,NA,NA,3,2
2020-03-26,RI,1057125,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,SC,5218040,0,NA,0,6,1,NA,NA,NA,3,2
2020-03-26,SD,892717,0,NA,0,3,1,NA,NA,NA,0,2
2020-03-26,TN,6886834,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,TX,29360759,NA,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,UT,3249879,0,NA,0,0,1,NA,NA,NA,3,2
2020-03-26,VT,623347,3,NA,5,3,1,NA,NA,NA,3,2
2020-03-26,VA,8590563,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-26,WA,7693612,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,WV,1784787,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,WI,5832655,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-26,WY,582328,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-27,AL,4921532,0,NA,0,5,1,NA,NA,NA,3,2
2020-03-27,AK,731158,2,NA,0,3,1,NA,NA,NA,3,2
2020-03-27,AZ,7421401,0,NA,0,0,1,NA,NA,NA,3,2
2020-03-27,AR,3030522,0,NA,0,3,1,NA,NA,NA,3,2
2020-03-27,CA,39368078,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,CO,5807719,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,CT,3557006,0,NA,5,0,1,NA,NA,NA,3,2
2020-03-27,DE,986809,3,NA,5,6,1,NA,NA,NA,3,2
2020-03-27,DC,712816,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-27,FL,21733312,NA,NA,0,0,1,NA,NA,NA,3,2
2020-03-27,GA,10710017,2,NA,0,0,1,NA,NA,NA,2,2
2020-03-27,HI,1407006,3,NA,5,3,1,NA,NA,NA,3,2
2020-03-27,ID,1826913,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,IL,12587530,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,IN,6754953,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,IA,3163561,0,NA,0,3,1,NA,NA,NA,3,NA
2020-03-27,KS,2913805,NA,NA,0,3,1,NA,NA,NA,2,2
2020-03-27,KY,4477251,0,NA,4,0,1,NA,NA,NA,3,2
2020-03-27,LA,4645318,3,NA,0,3,1,NA,NA,NA,3,2
2020-03-27,ME,1350141,0,NA,5,3,1,NA,NA,NA,3,NA
2020-03-27,MD,6055802,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-27,MA,6893574,0,NA,5,3,1,NA,NA,NA,3,2
2020-03-27,MI,9966555,3,NA,5,7,1,NA,NA,NA,3,2
2020-03-27,MN,5657342,3,NA,0,0,1,NA,NA,NA,3,2
2020-03-27,MS,2966786,0,NA,0,3,1,NA,NA,NA,2,2
2020-03-27,MO,6151548,0,NA,0,3,1,NA,NA,NA,3,2
