Date,Category,sums
2020-03-25,Stay_Home_Order,0
2020-03-25,Status_of_Reopening,0
2020-03-25,NonEss_Business_Closed,117
2020-03-25,Gathering_Limit,215
2020-03-25,Emergency_Declaration,51
2020-03-25,Travel_Quarantine,0
2020-03-25,Mask_Requirement,0
2020-03-25,Restaurants,137
2020-03-25,School_Closed,94
2020-03-26,Stay_Home_Order,88
2020-03-26,Status_of_Reopening,0
2020-03-26,NonEss_Business_Closed,117
2020-03-26,Gathering_Limit,217
2020-03-26,Emergency_Declaration,51
2020-03-26,Travel_Quarantine,0
2020-03-26,Mask_Requirement,0
2020-03-26,Restaurants,140
2020-03-26,School_Closed,94
2020-03-27,Stay_Home_Order,108
2020-03-27,Status_of_Reopening,0
2020-03-27,NonEss_Business_Closed,137
2020-03-27,Gathering_Limit,227
2020-03-27,Emergency_Declaration,51
2020-03-27,Travel_Quarantine,0
2020-03-27,Mask_Requirement,0
2020-03-27,Restaurants,140
2020-03-27,School_Closed,96
2020-03-28,Stay_Home_Order,108
2020-03-28,Status_of_Reopening,0
2020-03-28,NonEss_Business_Closed,137
2020-03-28,Gathering_Limit,227
2020-03-28,Emergency_Declaration,51
2020-03-28,Travel_Quarantine,0
2020-03-28,Mask_Requirement,0
2020-03-28,Restaurants,140
2020-03-28,School_Closed,96
2020-03-29,Stay_Home_Order,108
2020-03-29,Status_of_Reopening,0
2020-03-29,NonEss_Business_Closed,137
2020-03-29,Gathering_Limit,227
2020-03-29,Emergency_Declaration,51
2020-03-29,Travel_Quarantine,0
2020-03-29,Mask_Requirement,0
2020-03-29,Restaurants,140
2020-03-29,School_Closed,96
2020-03-30,Stay_Home_Order,133
2020-03-30,Status_of_Reopening,0
2020-03-30,NonEss_Business_Closed,151
2020-03-30,Gathering_Limit,226
2020-03-30,Emergency_Declaration,51
2020-03-30,Travel_Quarantine,52
2020-03-30,Mask_Requirement,0
2020-03-30,Restaurants,140
2020-03-30,School_Closed,96
2020-03-31,Stay_Home_Order,133
2020-03-31,Status_of_Reopening,0
2020-03-31,NonEss_Business_Closed,151
2020-03-31,Gathering_Limit,226
2020-03-31,Emergency_Declaration,51
2020-03-31,Travel_Quarantine,52
2020-03-31,Mask_Requirement,0
2020-03-31,Restaurants,140
2020-03-31,School_Closed,96
2020-04-01,Stay_Home_Order,163
2020-04-01,Status_of_Reopening,0
2020-04-01,NonEss_Business_Closed,171
2020-04-01,Gathering_Limit,231
2020-04-01,Emergency_Declaration,51
2020-04-01,Travel_Quarantine,65
2020-04-01,Mask_Requirement,0
2020-04-01,Restaurants,142
2020-04-01,School_Closed,98
2020-04-02,Stay_Home_Order,163
2020-04-02,Status_of_Reopening,0
2020-04-02,NonEss_Business_Closed,171
2020-04-02,Gathering_Limit,231
2020-04-02,Emergency_Declaration,51
2020-04-02,Travel_Quarantine,65
2020-04-02,Mask_Requirement,0
2020-04-02,Restaurants,142
2020-04-02,School_Closed,98
2020-04-03,Stay_Home_Order,199
2020-04-03,Status_of_Reopening,0
2020-04-03,NonEss_Business_Closed,181
2020-04-03,Gathering_Limit,253
2020-04-03,Emergency_Declaration,51
2020-04-03,Travel_Quarantine,65
2020-04-03,Mask_Requirement,0
2020-04-03,Restaurants,144
2020-04-03,School_Closed,102
2020-04-04,Stay_Home_Order,199
2020-04-04,Status_of_Reopening,0
2020-04-04,NonEss_Business_Closed,181
2020-04-04,Gathering_Limit,253
2020-04-04,Emergency_Declaration,51
2020-04-04,Travel_Quarantine,65
2020-04-04,Mask_Requirement,0
2020-04-04,Restaurants,144
2020-04-04,School_Closed,102
2020-04-05,Stay_Home_Order,199
2020-04-05,Status_of_Reopening,0
2020-04-05,NonEss_Business_Closed,181
2020-04-05,Gathering_Limit,253
2020-04-05,Emergency_Declaration,51
2020-04-05,Travel_Quarantine,65
2020-04-05,Mask_Requirement,0
2020-04-05,Restaurants,144
2020-04-05,School_Closed,102
2020-04-06,Stay_Home_Order,214
2020-04-06,Status_of_Reopening,0
2020-04-06,NonEss_Business_Closed,191
2020-04-06,Gathering_Limit,256
2020-04-06,Emergency_Declaration,51
2020-04-06,Travel_Quarantine,84
2020-04-06,Mask_Requirement,0
2020-04-06,Restaurants,145
2020-04-06,School_Closed,102
2020-04-07,Stay_Home_Order,214
2020-04-07,Status_of_Reopening,0
2020-04-07,NonEss_Business_Closed,191
2020-04-07,Gathering_Limit,256
2020-04-07,Emergency_Declaration,51
2020-04-07,Travel_Quarantine,84
2020-04-07,Mask_Requirement,0
2020-04-07,Restaurants,145
2020-04-07,School_Closed,102
2020-04-08,Stay_Home_Order,214
2020-04-08,Status_of_Reopening,0
2020-04-08,NonEss_Business_Closed,191
2020-04-08,Gathering_Limit,256
2020-04-08,Emergency_Declaration,51
2020-04-08,Travel_Quarantine,84
2020-04-08,Mask_Requirement,0
2020-04-08,Restaurants,145
2020-04-08,School_Closed,102
2020-04-09,Stay_Home_Order,214
2020-04-09,Status_of_Reopening,0
2020-04-09,NonEss_Business_Closed,191
2020-04-09,Gathering_Limit,256
2020-04-09,Emergency_Declaration,51
2020-04-09,Travel_Quarantine,88
2020-04-09,Mask_Requirement,0
2020-04-09,Restaurants,145
2020-04-09,School_Closed,102
2020-04-10,Stay_Home_Order,214
2020-04-10,Status_of_Reopening,0
2020-04-10,NonEss_Business_Closed,191
2020-04-10,Gathering_Limit,256
2020-04-10,Emergency_Declaration,51
2020-04-10,Travel_Quarantine,89
2020-04-10,Mask_Requirement,0
2020-04-10,Restaurants,145
2020-04-10,School_Closed,102
2020-04-11,Stay_Home_Order,214
2020-04-11,Status_of_Reopening,0
2020-04-11,NonEss_Business_Closed,191
2020-04-11,Gathering_Limit,256
2020-04-11,Emergency_Declaration,51
2020-04-11,Travel_Quarantine,89
2020-04-11,Mask_Requirement,0
2020-04-11,Restaurants,145
2020-04-11,School_Closed,102
2020-04-12,Stay_Home_Order,214
2020-04-12,Status_of_Reopening,0
2020-04-12,NonEss_Business_Closed,191
2020-04-12,Gathering_Limit,256
2020-04-12,Emergency_Declaration,51
2020-04-12,Travel_Quarantine,89
2020-04-12,Mask_Requirement,0
2020-04-12,Restaurants,145
2020-04-12,School_Closed,102
2020-04-13,Stay_Home_Order,214
2020-04-13,Status_of_Reopening,0
2020-04-13,NonEss_Business_Closed,191
2020-04-13,Gathering_Limit,256
2020-04-13,Emergency_Declaration,51
2020-04-13,Travel_Quarantine,89
2020-04-13,Mask_Requirement,0
2020-04-13,Restaurants,145
2020-04-13,School_Closed,102
2020-04-14,Stay_Home_Order,214
2020-04-14,Status_of_Reopening,0
2020-04-14,NonEss_Business_Closed,191
2020-04-14,Gathering_Limit,256
2020-04-14,Emergency_Declaration,51
2020-04-14,Travel_Quarantine,89
2020-04-14,Mask_Requirement,0
2020-04-14,Restaurants,145
2020-04-14,School_Closed,102
2020-04-15,Stay_Home_Order,214
2020-04-15,Status_of_Reopening,0
2020-04-15,NonEss_Business_Closed,191
2020-04-15,Gathering_Limit,256
2020-04-15,Emergency_Declaration,51
2020-04-15,Travel_Quarantine,89
2020-04-15,Mask_Requirement,0
2020-04-15,Restaurants,145
2020-04-15,School_Closed,102
2020-04-16,Stay_Home_Order,214
2020-04-16,Status_of_Reopening,0
2020-04-16,NonEss_Business_Closed,191
2020-04-16,Gathering_Limit,256
2020-04-16,Emergency_Declaration,51
2020-04-16,Travel_Quarantine,94
2020-04-16,Mask_Requirement,0
2020-04-16,Restaurants,145
2020-04-16,School_Closed,102
2020-04-17,Stay_Home_Order,214
2020-04-17,Status_of_Reopening,0
2020-04-17,NonEss_Business_Closed,191
2020-04-17,Gathering_Limit,256
2020-04-17,Emergency_Declaration,51
2020-04-17,Travel_Quarantine,94
2020-04-17,Mask_Requirement,0
2020-04-17,Restaurants,145
2020-04-17,School_Closed,102
2020-04-18,Stay_Home_Order,214
2020-04-18,Status_of_Reopening,0
2020-04-18,NonEss_Business_Closed,191
2020-04-18,Gathering_Limit,256
2020-04-18,Emergency_Declaration,51
2020-04-18,Travel_Quarantine,94
2020-04-18,Mask_Requirement,0
2020-04-18,Restaurants,145
2020-04-18,School_Closed,102
2020-04-19,Stay_Home_Order,214
2020-04-19,Status_of_Reopening,0
2020-04-19,NonEss_Business_Closed,191
2020-04-19,Gathering_Limit,256
2020-04-19,Emergency_Declaration,51
2020-04-19,Travel_Quarantine,94
2020-04-19,Mask_Requirement,0
2020-04-19,Restaurants,145
2020-04-19,School_Closed,102
2020-04-20,Stay_Home_Order,214
2020-04-20,Status_of_Reopening,0
2020-04-20,NonEss_Business_Closed,191
2020-04-20,Gathering_Limit,256
2020-04-20,Emergency_Declaration,51
2020-04-20,Travel_Quarantine,94
2020-04-20,Mask_Requirement,0
2020-04-20,Restaurants,145
2020-04-20,School_Closed,102
2020-04-21,Stay_Home_Order,214
2020-04-21,Status_of_Reopening,0
2020-04-21,NonEss_Business_Closed,191
2020-04-21,Gathering_Limit,256
2020-04-21,Emergency_Declaration,51
2020-04-21,Travel_Quarantine,94
2020-04-21,Mask_Requirement,0
2020-04-21,Restaurants,145
2020-04-21,School_Closed,102
2020-04-22,Stay_Home_Order,214
2020-04-22,Status_of_Reopening,0
2020-04-22,NonEss_Business_Closed,200
2020-04-22,Gathering_Limit,256
2020-04-22,Emergency_Declaration,51
2020-04-22,Travel_Quarantine,94
2020-04-22,Mask_Requirement,0
2020-04-22,Restaurants,144
2020-04-22,School_Closed,88
2020-04-23,Stay_Home_Order,214
2020-04-23,Status_of_Reopening,0
2020-04-23,NonEss_Business_Closed,200
2020-04-23,Gathering_Limit,256
2020-04-23,Emergency_Declaration,51
2020-04-23,Travel_Quarantine,94
2020-04-23,Mask_Requirement,0
2020-04-23,Restaurants,144
2020-04-23,School_Closed,88
2020-04-24,Stay_Home_Order,214
2020-04-24,Status_of_Reopening,0
2020-04-24,NonEss_Business_Closed,192
2020-04-24,Gathering_Limit,256
2020-04-24,Emergency_Declaration,51
2020-04-24,Travel_Quarantine,94
2020-04-24,Mask_Requirement,0
2020-04-24,Restaurants,143
2020-04-24,School_Closed,88
2020-04-25,Stay_Home_Order,214
2020-04-25,Status_of_Reopening,0
2020-04-25,NonEss_Business_Closed,192
2020-04-25,Gathering_Limit,256
2020-04-25,Emergency_Declaration,51
2020-04-25,Travel_Quarantine,94
2020-04-25,Mask_Requirement,0
2020-04-25,Restaurants,143
2020-04-25,School_Closed,88
2020-04-26,Stay_Home_Order,214
2020-04-26,Status_of_Reopening,0
2020-04-26,NonEss_Business_Closed,192
2020-04-26,Gathering_Limit,256
2020-04-26,Emergency_Declaration,51
2020-04-26,Travel_Quarantine,94
2020-04-26,Mask_Requirement,0
2020-04-26,Restaurants,143
2020-04-26,School_Closed,88
2020-04-27,Stay_Home_Order,196
2020-04-27,Status_of_Reopening,0
2020-04-27,NonEss_Business_Closed,187
2020-04-27,Gathering_Limit,239
2020-04-27,Emergency_Declaration,51
2020-04-27,Travel_Quarantine,94
2020-04-27,Mask_Requirement,0
2020-04-27,Restaurants,142
2020-04-27,School_Closed,88
2020-04-28,Stay_Home_Order,196
2020-04-28,Status_of_Reopening,0
2020-04-28,NonEss_Business_Closed,187
2020-04-28,Gathering_Limit,239
2020-04-28,Emergency_Declaration,51
2020-04-28,Travel_Quarantine,94
2020-04-28,Mask_Requirement,0
2020-04-28,Restaurants,142
2020-04-28,School_Closed,88
2020-04-29,Stay_Home_Order,191
2020-04-29,Status_of_Reopening,0
2020-04-29,NonEss_Business_Closed,187
2020-04-29,Gathering_Limit,234
2020-04-29,Emergency_Declaration,51
2020-04-29,Travel_Quarantine,94
2020-04-29,Mask_Requirement,0
2020-04-29,Restaurants,142
2020-04-29,School_Closed,88
2020-04-30,Stay_Home_Order,186
2020-04-30,Status_of_Reopening,0
2020-04-30,NonEss_Business_Closed,184
2020-04-30,Gathering_Limit,234
2020-04-30,Emergency_Declaration,51
2020-04-30,Travel_Quarantine,94
2020-04-30,Mask_Requirement,0
2020-04-30,Restaurants,142
2020-04-30,School_Closed,88
2020-05-01,Stay_Home_Order,186
2020-05-01,Status_of_Reopening,0
2020-05-01,NonEss_Business_Closed,184
2020-05-01,Gathering_Limit,234
2020-05-01,Emergency_Declaration,51
2020-05-01,Travel_Quarantine,94
2020-05-01,Mask_Requirement,0
2020-05-01,Restaurants,142
2020-05-01,School_Closed,88
2020-05-02,Stay_Home_Order,186
2020-05-02,Status_of_Reopening,0
2020-05-02,NonEss_Business_Closed,184
2020-05-02,Gathering_Limit,234
2020-05-02,Emergency_Declaration,51
2020-05-02,Travel_Quarantine,94
2020-05-02,Mask_Requirement,0
2020-05-02,Restaurants,142
2020-05-02,School_Closed,88
2020-05-03,Stay_Home_Order,186
2020-05-03,Status_of_Reopening,0
2020-05-03,NonEss_Business_Closed,184
2020-05-03,Gathering_Limit,234
2020-05-03,Emergency_Declaration,51
2020-05-03,Travel_Quarantine,94
2020-05-03,Mask_Requirement,0
2020-05-03,Restaurants,142
2020-05-03,School_Closed,88
2020-05-04,Stay_Home_Order,186
2020-05-04,Status_of_Reopening,0
2020-05-04,NonEss_Business_Closed,184
2020-05-04,Gathering_Limit,234
2020-05-04,Emergency_Declaration,51
2020-05-04,Travel_Quarantine,94
2020-05-04,Mask_Requirement,0
2020-05-04,Restaurants,142
2020-05-04,School_Closed,88
2020-05-05,Stay_Home_Order,160
2020-05-05,Status_of_Reopening,0
2020-05-05,NonEss_Business_Closed,139
2020-05-05,Gathering_Limit,234
2020-05-05,Emergency_Declaration,51
2020-05-05,Travel_Quarantine,94
2020-05-05,Mask_Requirement,0
2020-05-05,Restaurants,133
2020-05-05,School_Closed,88
2020-05-06,Stay_Home_Order,160
2020-05-06,Status_of_Reopening,0
2020-05-06,NonEss_Business_Closed,139
2020-05-06,Gathering_Limit,234
2020-05-06,Emergency_Declaration,51
2020-05-06,Travel_Quarantine,94
2020-05-06,Mask_Requirement,0
2020-05-06,Restaurants,133
2020-05-06,School_Closed,88
2020-05-07,Stay_Home_Order,160
2020-05-07,Status_of_Reopening,0
2020-05-07,NonEss_Business_Closed,135
2020-05-07,Gathering_Limit,234
2020-05-07,Emergency_Declaration,51
2020-05-07,Travel_Quarantine,95
2020-05-07,Mask_Requirement,0
2020-05-07,Restaurants,132
2020-05-07,School_Closed,86
2020-05-08,Stay_Home_Order,160
2020-05-08,Status_of_Reopening,0
2020-05-08,NonEss_Business_Closed,119
2020-05-08,Gathering_Limit,232
2020-05-08,Emergency_Declaration,51
2020-05-08,Travel_Quarantine,95
2020-05-08,Mask_Requirement,0
2020-05-08,Restaurants,131
2020-05-08,School_Closed,86
2020-05-09,Stay_Home_Order,160
2020-05-09,Status_of_Reopening,0
2020-05-09,NonEss_Business_Closed,119
2020-05-09,Gathering_Limit,232
2020-05-09,Emergency_Declaration,51
2020-05-09,Travel_Quarantine,95
2020-05-09,Mask_Requirement,0
2020-05-09,Restaurants,131
2020-05-09,School_Closed,86
2020-05-10,Stay_Home_Order,160
2020-05-10,Status_of_Reopening,0
2020-05-10,NonEss_Business_Closed,119
2020-05-10,Gathering_Limit,232
2020-05-10,Emergency_Declaration,51
2020-05-10,Travel_Quarantine,95
2020-05-10,Mask_Requirement,0
2020-05-10,Restaurants,131
2020-05-10,School_Closed,86
2020-05-11,Stay_Home_Order,160
2020-05-11,Status_of_Reopening,0
2020-05-11,NonEss_Business_Closed,119
2020-05-11,Gathering_Limit,232
2020-05-11,Emergency_Declaration,51
2020-05-11,Travel_Quarantine,95
2020-05-11,Mask_Requirement,0
2020-05-11,Restaurants,131
2020-05-11,School_Closed,86
2020-05-12,Stay_Home_Order,160
2020-05-12,Status_of_Reopening,0
2020-05-12,NonEss_Business_Closed,111
2020-05-12,Gathering_Limit,228
2020-05-12,Emergency_Declaration,51
2020-05-12,Travel_Quarantine,95
2020-05-12,Mask_Requirement,0
2020-05-12,Restaurants,125
2020-05-12,School_Closed,86
2020-05-13,Stay_Home_Order,160
2020-05-13,Status_of_Reopening,0
2020-05-13,NonEss_Business_Closed,111
2020-05-13,Gathering_Limit,226
2020-05-13,Emergency_Declaration,51
2020-05-13,Travel_Quarantine,95
2020-05-13,Mask_Requirement,0
2020-05-13,Restaurants,125
2020-05-13,School_Closed,86
2020-05-14,Stay_Home_Order,156
2020-05-14,Status_of_Reopening,0
2020-05-14,NonEss_Business_Closed,111
2020-05-14,Gathering_Limit,226
2020-05-14,Emergency_Declaration,51
2020-05-14,Travel_Quarantine,95
2020-05-14,Mask_Requirement,0
2020-05-14,Restaurants,125
2020-05-14,School_Closed,86
2020-05-15,Stay_Home_Order,140
2020-05-15,Status_of_Reopening,0
2020-05-15,NonEss_Business_Closed,95
2020-05-15,Gathering_Limit,206
2020-05-15,Emergency_Declaration,51
2020-05-15,Travel_Quarantine,92
2020-05-15,Mask_Requirement,0
2020-05-15,Restaurants,116
2020-05-15,School_Closed,86
2020-05-16,Stay_Home_Order,140
2020-05-16,Status_of_Reopening,0
2020-05-16,NonEss_Business_Closed,95
2020-05-16,Gathering_Limit,206
2020-05-16,Emergency_Declaration,51
2020-05-16,Travel_Quarantine,92
2020-05-16,Mask_Requirement,0
2020-05-16,Restaurants,116
2020-05-16,School_Closed,86
2020-05-17,Stay_Home_Order,140
2020-05-17,Status_of_Reopening,0
2020-05-17,NonEss_Business_Closed,95
2020-05-17,Gathering_Limit,206
2020-05-17,Emergency_Declaration,51
2020-05-17,Travel_Quarantine,92
2020-05-17,Mask_Requirement,0
2020-05-17,Restaurants,116
2020-05-17,School_Closed,86
2020-05-18,Stay_Home_Order,136
2020-05-18,Status_of_Reopening,0
2020-05-18,NonEss_Business_Closed,90
2020-05-18,Gathering_Limit,208
2020-05-18,Emergency_Declaration,51
2020-05-18,Travel_Quarantine,92
2020-05-18,Mask_Requirement,0
2020-05-18,Restaurants,115
2020-05-18,School_Closed,86
2020-05-19,Stay_Home_Order,133
2020-05-19,Status_of_Reopening,0
2020-05-19,NonEss_Business_Closed,82
2020-05-19,Gathering_Limit,208
2020-05-19,Emergency_Declaration,51
2020-05-19,Travel_Quarantine,92
2020-05-19,Mask_Requirement,0
2020-05-19,Restaurants,115
2020-05-19,School_Closed,86
2020-05-20,Stay_Home_Order,129
2020-05-20,Status_of_Reopening,0
2020-05-20,NonEss_Business_Closed,79
2020-05-20,Gathering_Limit,208
2020-05-20,Emergency_Declaration,51
2020-05-20,Travel_Quarantine,92
2020-05-20,Mask_Requirement,0
2020-05-20,Restaurants,114
2020-05-20,School_Closed,86
2020-05-21,Stay_Home_Order,125
2020-05-21,Status_of_Reopening,0
2020-05-21,NonEss_Business_Closed,79
2020-05-21,Gathering_Limit,206
2020-05-21,Emergency_Declaration,51
2020-05-21,Travel_Quarantine,82
2020-05-21,Mask_Requirement,0
2020-05-21,Restaurants,114
2020-05-21,School_Closed,86
2020-05-22,Stay_Home_Order,117
2020-05-22,Status_of_Reopening,0
2020-05-22,NonEss_Business_Closed,75
2020-05-22,Gathering_Limit,193
2020-05-22,Emergency_Declaration,51
2020-05-22,Travel_Quarantine,82
2020-05-22,Mask_Requirement,0
2020-05-22,Restaurants,110
2020-05-22,School_Closed,86
2020-05-23,Stay_Home_Order,117
2020-05-23,Status_of_Reopening,0
2020-05-23,NonEss_Business_Closed,75
2020-05-23,Gathering_Limit,193
2020-05-23,Emergency_Declaration,51
2020-05-23,Travel_Quarantine,82
2020-05-23,Mask_Requirement,0
2020-05-23,Restaurants,110
